Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate,metric1,metric2
January,Economy,UK,UK,113.43,BRITISH AIRWAYS,Strategic Director Border,113.43,113.43
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,Immigration Group,23.98,23.98
March,Economy,UK,UK,151.49,BRITISH AIRWAYS,Strategy & Reform Directorate,151.49,151.49
January,Economy,UK,UK,119.7,FLYBE BRITISH EUROPEAN,Criminal & Detention Group,119.7,119.7
January,Economy,UK,EEA,417.7,BRITISH AIRWAYS,UKBA,417.7,417.7
January,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,Strategic Director Border,11.99,11.99
January,Economy,UK,UK,161.43,BRITISH AIRWAYS,Strategic Director Border,161.43,161.43
January,Economy,UK,UK,174.51,FLYBE BRITISH EUROPEAN,Immigration Group,174.51,174.51
January,Economy,UK,UK,208.05,FLYBE BRITISH EUROPEAN,Immigration Group,208.05,208.05
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,Immigration Group,23.98,23.98
January,Economy,UK,UK,203.05,FLYBE BRITISH EUROPEAN,Immigration Group,203.05,203.05
February,Economy,UK,UK,169.05,FLYBE BRITISH EUROPEAN,Immigration Group,169.05,169.05
January,Economy,UK,UK,182,BMI,Strategic Director Border,182,182
January,Economy,UK,UK,109.23,FLYBE BRITISH EUROPEAN,Immigration Group,109.23,109.23
February,Economy,UK,UK,81.54,BRITISH AIRWAYS,Strategy & Reform Directorate,81.54,81.54
January,Economy,EEA,UK,214.1,BRITISH AIRWAYS,Crime & Policing Group,214.1,214.1
February,Economy,UK,UK,60,BRITISH AIRWAYS,Strategic Director Border,60,60
January,Economy,UK,UK,210.1,BMI,Strategy & Reform Directorate,210.1,210.1
January,Economy,UK,EEA,160.59,KLM-ROYAL DUTCH AIRLINES,Strategic Director Border,160.59,160.59
January,Economy,UK,UK,139.62,BRITISH AIRWAYS,Strategic Director Border,139.62,139.62
January,Economy,UK,Non EEA,236.41,ROYAL AIR MAROC,Resource Management Group,236.41,236.41
January,Economy,UK,UK,109.23,FLYBE BRITISH EUROPEAN,Immigration Group,109.23,109.23
February,Economy,UK,UK,39.7,BRITISH AIRWAYS,OSCT,39.7,39.7
February,Economy,UK,UK,220.5,BRITISH AIRWAYS,HMIC,220.5,220.5
February,Economy,UK,UK,83.2,FLYBE BRITISH EUROPEAN,OSCT,83.2,83.2
January,Economy,UK,UK,150.43,BRITISH AIRWAYS,Finance & Commercial Group,150.43,150.43
January,Economy,UK,EEA,416.93,LUFTHANSA GERMAN AIRLINES,Science & Research Group,416.93,416.93
February,Economy,UK,EEA,335.3,BRITISH AIRWAYS,Crime & Policing Group,335.3,335.3
February,Economy,UK,UK,82.34,FLYBE BRITISH EUROPEAN,Strategic Director Border,82.34,82.34
January,Economy,UK,UK,247.62,BRITISH AIRWAYS,Strategic Director Border,247.62,247.62
January,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,Criminal & Detention Group,88.01,88.01
February,Economy,UK,EEA,335.3,BRITISH AIRWAYS,Crime & Policing Group,335.3,335.3
January,Economy,UK,UK,68.5,BRITISH AIRWAYS,HROD,68.5,68.5
January,Economy,UK,UK,85.1,BMI,Strategic Director Border,85.1,85.1
February,Economy,UK,UK,104.63,BRITISH AIRWAYS,Strategic Director Border,104.63,104.63
January,Economy,UK,EEA,430.8,BRITISH AIRWAYS,Policy & Strategy,430.8,430.8
January,Economy,UK,UK,270.54,BRITISH AIRWAYS,HROD,270.54,270.54
January,Economy,UK,UK,125.5,BRITISH AIRWAYS,OSCT,125.5,125.5
January,Economy,UK,UK,276.63,BRITISH AIRWAYS,Strategic Director Border,276.63,276.63
January,Business Class,UK,Non EEA,2592.41,VIRGIN ATLANTIC,Strategic Director Border,2592.41,2592.41
January,Economy,UK,UK,176.55,BRITISH AIRWAYS,Strategic Director Border,176.55,176.55
January,Economy,UK,UK,189.51,FLYBE BRITISH EUROPEAN,Immigration Group,189.51,189.51
January,Business Class,UK,UK,189.35,BRITISH AIRWAYS,Criminal & Detention Group,189.35,189.35
January,Economy,UK,UK,81.55,BRITISH AIRWAYS,Strategic Director Border,81.55,81.55
February,Economy,UK,UK,43.7,BRITISH AIRWAYS,OSCT,43.7,43.7
January,Economy,UK,UK,182.43,BRITISH AIRWAYS,Strategic Director Border,182.43,182.43
January,Economy,UK,EEA,190.17,LOT-POLISH AIRLINES,UKBA,190.17,190.17
February,Economy,UK,UK,20,BRITISH AIRWAYS,Strategic Director Border,20,20
January,Business Class,UK,Non EEA,2592.41,VIRGIN ATLANTIC,Strategic Director Border,2592.41,2592.41
January,Economy,UK,UK,130.7,FLYBE BRITISH EUROPEAN,Strategic Director Border,130.7,130.7
January,Economy,UK,UK,276.63,BRITISH AIRWAYS,Strategic Director Border,276.63,276.63
January,Economy,UK,UK,180.23,FLYBE BRITISH EUROPEAN,Strategic Director Border,180.23,180.23
January,Economy,UK,EEA,95.43,EASYJET,Crime & Policing Group,95.43,95.43
January,Economy,UK,UK,203.05,FLYBE BRITISH EUROPEAN,Immigration Group,203.05,203.05
January,Economy,UK,UK,174.51,FLYBE BRITISH EUROPEAN,Immigration Group,174.51,174.51
January,Economy,UK,UK,182.43,BRITISH AIRWAYS,HROD,182.43,182.43
